,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,fit_reliable,N_over_tau,qx,qy,spin_tune
12,600425424,misaligned,92.19288064505496,744.0436299030235,89.90419887483274,725.2720185409885,28747.346987681587,744.0436299030235,89.86692977838196,40010388472.16208,False,4.99870177814328e-07,15.431461004306936,15.361190331919603,0.4943908378796321
13,3763452637,misaligned,92.34229470987889,744.4388128327085,90.13261049688224,726.641367283652,30394.25154159014,744.4388128327085,90.13464925447822,42302540544.72341,False,4.727848432378536e-07,15.44346897261343,15.39529389763626,0.4905561393153182
14,1208918778,misaligned,91.9116813698322,740.5721809706405,88.5315384283136,713.1790643352034,19280.777069888733,740.5721809706405,88.51194874063322,26834872134.1822,False,7.452988745388522e-07,15.441379275822856,15.369075990871826,0.4911242889574046
15,3981081104,corrected,92.375736092522,748.7582175244922,92.33882815760533,748.4552120175572,1849510.908616516,748.7582175244922,92.33835372250174,2574138405500.778,False,7.769589994563312e-09,15.380760208080048,15.342371803317672,0.4964956755263739
16,1392999357,corrected,92.37585942599783,744.6412850509673,92.31711135192634,744.1666182318821,1167423.4739225819,744.6412850509673,92.31697502590579,1624813125300.8704,False,1.2309107852816338e-08,15.430078428360703,15.364803952950961,0.49148541397678086
17,136304618,corrected,92.37576495339158,744.6663123219763,92.32304474463714,744.2425668926776,1307889.9014393976,744.6663123219763,92.32319938472106,1820313473025.2307,False,1.0987118590492786e-08,15.41429157120712,15.392363752631802,0.4918321788426401
18,2069092292,corrected,92.37538380892798,744.8576813430774,92.23360784056051,743.7113283229479,483236.0414949701,744.8576813430774,92.23321597892851,672565080605.4736,False,2.9736899188990144e-08,15.42156528466291,15.382556915642862,0.4922792934385245
19,4065003327,corrected,92.37569998792532,743.4616771678192,92.31257498094912,742.9537080365474,1087384.2047290266,743.4616771678192,92.31258442257129,1513414941154.1958,False,1.3215146392533388e-08,15.432629863271478,15.384595972672216,0.4882131310485294
20,2672839169,corrected,92.3666447600519,719.8258224710036,92.2758391821903,719.1169541685156,730232.8954058102,719.8258224710036,92.27568416287187,1016333849271.6488,False,1.9678573152250033e-08,15.64909350068141,15.612344705224803,0.41901664172955483
21,1954193856,corrected,92.37554661920254,743.0899227207617,92.34531809227573,742.8475733411468,2277713.880450931,743.0899227207617,92.34541950304845,3170108783406.281,False,6.3089317643257675e-09,15.441523933845865,15.379537433553331,0.4870931608131535
22,1753684486,corrected,92.37535304673017,742.3367302435537,92.22001075633588,741.0873956901559,440343.535400623,742.3367302435537,92.21988758780597,612867542877.391,False,3.263347885270726e-08,15.439154682756046,15.401451000745261,0.48511961162618705
23,2135894156,corrected,92.37565808690316,745.6742339464853,92.36517197581206,745.5863823723912,6328452.964551596,745.6742339464853,92.36477485317793,8807903617958.71,False,2.2706878807371794e-09,15.419521176891319,15.365640793205877,0.4945165537969171
24,3023483286,corrected,92.37577243391118,745.9450279286094,92.34106950856093,745.6621106319434,1966026.646285798,745.9450279286094,92.34073673712932,2736304323951.1353,False,7.309128529651499e-09,15.409043337283826,15.368099564179454,0.4954225113918408
25,2326265147,corrected,92.37564682991514,743.9951793588474,92.27777363306296,743.2072622839255,701777.6844835719,743.9951793588474,92.27781776937341,976730054057.2968,False,2.0476486739525233e-08,15.433553971167779,15.37452341619096,0.4896794909597182
26,3145756365,corrected,92.37556158584866,745.686700521948,92.27546877842491,744.8806909509373,689132.7903478792,745.686700521948,92.27571323571237,959130964764.8057,False,2.0852209692661025e-08,15.41437803773708,15.364225387436772,0.49460168867371784
27,600425424,corrected,92.3757069735915,745.5926446211197,92.35909940741489,745.4595180299432,4175042.180483939,745.5926446211197,92.3592131641828,5810799153062.885,False,3.4418673702494015e-09,15.41210089102188,15.364691790466534,0.49424413568807885
