,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,qx,qy,qs
30,323233842,91.62675178647012,790.5271300054775,91.62637014283649,790.519481591986,81706761.49931484,7.295046871651144e-07,0.029385749904655964,15.418795058863282,15.389326597176515,0.03678265307176476
31,2586755017,69.87126632654281,832.9859130325774,69.84338526982825,832.9210260663481,10692617.049323758,7.295046871994283e-07,0.03629667147606309,15.458880865683554,15.389175349123391,0.03653555401874081
32,2893713171,74.3495858044104,825.8172014409495,74.28489240651031,825.7795178732899,18096559.66280059,7.295046871938823e-07,0.38215954679588954,15.44224834074561,15.38763454896097,0.03665329949890578
33,3268952552,87.54048786765324,801.0969818360353,87.58405502290623,801.0803809314301,38657114.81606089,7.295046871739967e-07,0.9794177361163022,15.448197301897206,15.389618212716499,0.036571409515648245
34,3818440525,92.15027412972,790.1932772064935,92.1441771562862,790.188719005131,136984254.05696285,7.295046871648301e-07,35.76723354768786,15.430453290014256,15.397001132193337,0.03657377802996015
35,3530475085,90.52462591755899,794.8983406216599,90.54577387280317,794.890311589162,78696529.1052974,7.295046871688163e-07,62.685094610142414,15.416677018981382,15.399105552606665,0.03664710137464566
36,4196988905,58.89944600434005,851.7986421970265,58.71166876616327,851.7105240959578,8233108.28502905,7.295046872135385e-07,0.167009045317418,15.423447164301884,15.378768786509752,0.03676057002034239
37,490884118,86.0275423048949,803.2391897041599,86.01336444221735,803.2148160591964,26470132.75926228,7.295046871757684e-07,265.9113375118241,15.437746274644224,15.38866982259867,0.03669481476513037
38,1016994742,81.67376393861115,811.0454868537679,81.5851273071555,811.0150972769892,21644596.738127217,7.295046871821454e-07,0.02730555398393237,15.448354224063554,15.410055835861014,0.036791406912223046
39,1300059959,71.40115491952326,832.9200054324003,71.5084528458623,832.8609309357811,11742910.575949699,7.295046871993777e-07,0.01678894806377613,15.42338673083329,15.38277240198882,0.03664878247212522
40,1530305432,27.1002681808662,881.0078939675263,26.86664298445417,880.9167924307009,8519007.199035749,7.295046872342524e-07,0.0023751539545412595,15.44335324681429,15.380836938779277,0.036636300490177465
41,3744475454,28.638508702368053,879.5581022587878,28.504941915053898,879.4648067453626,8291292.560863269,7.295046872332567e-07,4.145695695926077,15.425668831609558,15.387192326016422,0.036730261130779596
42,916555074,73.05725108242333,830.3544298575756,73.05347218974791,830.3046313654581,13844739.056726819,7.295046871974037e-07,0.26719033816483145,15.4224818319847,15.37843285780974,0.03668324433041198
43,1158237320,92.10933254187267,789.7039686689267,92.11250151908223,789.7013745275096,240399503.83367577,7.295046871644127e-07,6.901240319356256,15.443280116116487,15.40672594015364,0.03649634668382001
44,225865955,71.89645750184238,829.4979756424079,72.00996167844373,829.4425613296925,12415942.593501318,7.295046871967418e-07,0.019404506038914006,15.452713185293325,15.398422680154374,0.03654406716861264
45,393799352,72.91434360211086,830.266125036974,72.98469606691825,830.2160470522656,13764536.738903979,7.295046871973355e-07,5.232908297650151,15.43981913036848,15.391496702478547,0.0365461380163708
46,3670665467,90.7653057539303,793.0247892620386,90.75410721686067,793.0198003279726,126055857.16683641,7.295046871672347e-07,0.05213827788411745,15.430120132137253,15.378978187357356,0.03668757654126409
47,2378143522,84.1064011593588,808.1061350454839,84.12966697870742,808.082340461755,27443905.066318497,7.295046871797585e-07,3.992777168269137,15.451665796891037,15.382082647106706,0.036557917011715624
