x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c]  ID
-1.795367596577081448e+00 -1.450942281279384363e-02 -8.489404580502860065e-02 1.827703633007791373e+00 2.785007604934100527e+05 3.000394929808691813e+03 5.455700000000000000e+04
-1.431231081753081558e+00 -2.373013487976739500e-01 -1.918486565133380006e+00 1.393001885822094721e+00 2.785035531889178674e+05 2.991330781163734628e+03 6.690000000000000000e+04
-1.202723147498172773e+00 -3.522234200473026849e-02 -1.670297186629167818e+00 1.424727469933415813e+00 2.785014843502353178e+05 3.013062673084999915e+03 3.949600000000000000e+04
-1.602432459261341258e+00 -5.755322347878673028e-01 -2.440303197353807629e+00 4.206154502424346853e-01 2.785059404455538606e+05 2.919608006959458635e+03 2.841000000000000000e+04
-3.795759847872672843e+00 -1.613805974033680313e+00 -7.791539238270128731e-01 -9.023483370003839710e-01 2.785060273381699808e+05 2.913800824919874231e+03 4.200000000000000000e+01
-3.037802622417603349e+00 -6.500889000909172433e-01 -1.591843073355235783e+00 1.945353927397632798e+00 2.785092722509112791e+05 2.684813362437179876e+03 4.300000000000000000e+01
3.948970228445392916e+00 1.237047688369953935e+00 4.115184835289983356e-01 8.329220749683616809e-01 2.785022405985012301e+05 3.040196848135294204e+03 4.400000000000000000e+01
2.385495172750841775e+00 2.904512879655708479e-01 -1.634299404336135630e+00 1.526652274118707853e+00 2.785037909823480295e+05 3.015294392996519491e+03 4.500000000000000000e+01
-2.556872906893426833e+00 -8.713623089980163661e-01 7.273084896762405105e-01 -7.293750864474206619e-01 2.785026337648542831e+05 3.043031910934243115e+03 6.113900000000000000e+04
-1.367749592763555233e+00 -1.332415888381503821e+00 -5.884209197369298927e-01 -7.473809388554103483e-01 2.785059025153481052e+05 2.925031856018968483e+03 4.423900000000000000e+04
1.566007464855031506e+00 8.546489136305273071e-01 -2.391629030986996529e+00 2.365319809777825188e+00 2.784965941032174160e+05 2.907067282173039530e+03 6.439000000000000000e+04
1.484986148243102155e+00 7.112264705184112579e-02 2.286102622433382747e-01 -1.504176898736521092e-02 2.784955671054411214e+05 2.875255574316078764e+03 4.900000000000000000e+01
-9.381208352005337980e-02 -1.814391112818474761e-01 7.704271502004145233e-01 -4.252075341844668843e-01 2.785058935787059600e+05 2.912879532254326477e+03 5.000000000000000000e+01
-2.348365380798476121e+00 -4.645735580605964699e-01 2.064586872654401439e+00 -1.420572672528292113e+00 2.785088092887704843e+05 2.716474229422182816e+03 6.249600000000000000e+04
4.742416691167730569e+00 2.029424493238922267e+00 -9.004760598904623103e-01 1.678668435127835534e-01 2.785082727225746494e+05 2.771096823942936226e+03 6.870400000000000000e+04
-2.122319519971544555e+00 -8.035018071680914975e-01 1.258129058437664760e+00 6.851270952825950777e-01 2.785026187082386459e+05 3.025237064890148304e+03 2.926600000000000000e+04
-2.269066170770589697e+00 -7.875516833316276166e-01 -1.338044260591665813e+00 2.584975583353778528e-01 2.785044339300994179e+05 2.989906150064491612e+03 5.400000000000000000e+01
3.322305264021188087e-01 4.600205183305175471e-01 -1.702166133292698946e+00 7.703875220086930931e-01 2.785044512787035783e+05 2.998677401101207124e+03 5.500000000000000000e+01
6.260384581746471611e+00 2.194879070540546984e+00 9.339422892694261291e-01 4.263300726966798293e-01 2.785071099990091170e+05 2.856383198848749089e+03 6.689900000000000000e+04
-3.931492669756761149e+00 -9.125638422483270951e-01 3.560962206106666805e+00 -1.823852078338847216e+00 2.785065305626456393e+05 2.862559752904352536e+03 5.700000000000000000e+01
4.838733553290929024e+00 1.799962512885820543e+00 -1.443861498489982687e+00 4.855479976474296189e-01 2.785003671243099379e+05 3.046590462772453066e+03 3.849100000000000000e+04
-4.988792187510733278e+00 -1.212750904507955418e+00 1.607565745767226550e-01 -2.821260677379542892e-01 2.785125535568616469e+05 2.353717733122022764e+03 4.423600000000000000e+04
-1.223565156940977922e-01 -4.723491949180260163e-01 -1.856836268342566099e+00 -8.648705926275922495e-01 2.785066141144077992e+05 2.888800287898588522e+03 6.000000000000000000e+01
5.048608223480063550e+00 1.027002438444890142e+00 -3.427953835180862913e-02 -1.896104292644229528e-01 2.785035128670238191e+05 3.017670510577148889e+03 3.537300000000000000e+04
-8.822100351678209051e+00 -2.881288891233825922e+00 -2.132654051444113463e+00 1.072073107199729147e+00 2.784983009985781391e+05 2.958593941576868929e+03 4.047700000000000000e+04
-2.049873199692272330e+00 -4.464986896837508934e-01 -6.584720833420999453e-01 9.004166327525693347e-01 2.785055253263403429e+05 2.932049814822520602e+03 6.689800000000000000e+04
-1.117010813685643811e+00 7.677370780897209424e-02 -3.822581874942330149e-01 9.849496732271658672e-01 2.785071123017736827e+05 2.810722007548024976e+03 3.047000000000000000e+04
-1.365464706318740840e-01 4.600903671741813916e-01 -3.137592677967981913e-01 3.092746936234418431e-01 2.785038530404703924e+05 3.013864858216581979e+03 6.355600000000000000e+04
2.359667855222193023e+00 5.222367901797844159e-01 4.689465630135349061e-02 -4.841367841106024583e-01 2.785123057804128039e+05 2.342989342960377144e+03 4.423300000000000000e+04
-1.713825067838744332e+00 -2.290997675758986440e-02 -1.139332055156377255e+00 9.323336167637137351e-01 2.785026745472556213e+05 3.022889677605590805e+03 4.728600000000000000e+04
-2.605988714424305019e+00 -1.100550366236664912e+00 -4.664757027663277711e+00 1.865134294286768135e+00 2.785106616958128288e+05 2.598144241288723606e+03 5.230000000000000000e+04
-1.817750262808502937e+00 -1.064873748868778724e+00 -1.952843078095626517e+00 1.440951588127152183e+00 2.785023337447638623e+05 3.001719560967798770e+03 4.423200000000000000e+04
-4.114556897074995945e+00 -9.721113735793153188e-01 2.045322009535428087e+00 -1.907078096431212622e+00 2.784968803612114280e+05 2.924561072461016920e+03 2.446700000000000000e+04
-1.140790575677539165e+00 1.196983797987718340e-01 -2.311391796727296555e+00 1.904752609878004543e+00 2.784996119003610220e+05 3.027786885993600663e+03 7.100000000000000000e+01
6.781754394624608384e-01 4.624121650887423086e-03 8.504677819857389132e-01 -2.965436292517797390e-01 2.785022905881362385e+05 3.052720421051844369e+03 5.229000000000000000e+04
1.290848985547004890e+00 5.476893401385216631e-01 -1.252818566114090482e+00 1.411140794608735025e-02 2.784998682762347162e+05 3.056605174502050431e+03 4.425300000000000000e+04
-2.126396573604003581e+00 -1.398473795531704811e+00 2.301028217952903743e-01 1.675226616458979911e-01 2.784961437402351876e+05 2.889011312360517422e+03 6.917200000000000000e+04
