Sx Sy Sz x[mm] xp[mrad] y[mm] yp[mrad] p[MeV/c] t[mm/c] ID
-1.531020291033540100e-02 -2.640960152586943003e-03 1.094217439640874506e-02 4.906397471297235247e-01 -3.743833233955377870e-02 -8.757852860527277628e-01 -1.368082577771415412e-02 3.012594862220208142e+03 2.785018609817579272e+05 6.160900000000000000e+04
1.958101531015113677e-03 1.221536228855336220e-03 5.438804435836802620e-03 -3.900818382230017978e-01 -2.142399869062151102e-02 -7.622568653124794924e-01 1.765284816269599433e-03 3.032034469553529107e+03 2.785018978315723944e+05 2.675100000000000000e+04
1.242790923510193532e-02 -8.799584507134703207e-03 1.451247000625731920e-01 -1.372938293847451696e+00 -5.498168502232233523e-01 8.316008019560117148e-01 -1.256358152570758335e+00 2.987003618423315856e+03 2.785016846598241245e+05 5.623800000000000000e+04
1.102196574980302685e-03 -1.665985748808777606e-03 8.215944433431507030e-03 1.336868724651498308e+00 4.057805258834754070e-01 -8.923498334984309999e-01 9.121260056979999531e-01 3.030597538461406202e+03 2.784984749390636571e+05 5.295300000000000000e+04
-3.462143722718967476e-02 3.072069751991083481e-02 2.376040424629229098e-01 -4.093001521875728188e-01 -9.634677621584327722e-01 -1.362586520783012123e+00 -1.709343248586333575e-01 2.999075690272600696e+03 2.784998088992263074e+05 4.200000000000000000e+01
-8.788871959394442546e-03 1.247389333845450032e-02 1.676019988231384344e-02 -3.363766015719058672e-02 2.766254064109455735e-01 -5.437904123864137240e+00 2.990050372052452943e+00 2.872260862667473702e+03 2.784962646574295941e+05 6.733200000000000000e+04
-4.123919572282619406e-02 5.211392475963702933e-03 1.255555940455590214e-01 3.796177077585363713e-01 1.623322294871564209e-01 -3.344044447071237158e+00 6.520756346671634507e-01 2.920092408190114384e+03 2.785035788330596988e+05 4.400000000000000000e+01
-6.670902427445114281e-03 -6.794282659793996794e-03 -2.466448436348299498e-03 -8.629877460784934895e-01 2.742859147444192125e-01 2.655183850655389755e+00 -9.148086542082706218e-01 2.924797657811080171e+03 2.785047488465799252e+05 4.857300000000000000e+04
2.199549985807725243e-03 -1.043741018834364737e-02 3.417837205443615550e-02 6.919949223417547479e-01 -1.176960911374100860e-01 1.178778638988946303e+00 -2.823168474972355124e-01 3.041967844380608767e+03 2.785010555628181319e+05 2.849800000000000000e+04
-1.051688290471699703e-03 1.813682611721324431e-02 1.455700429077446019e-02 1.142519033930562866e+00 2.526418288907855136e-01 1.077345117999601198e+00 -7.911355142210260150e-01 3.057245757460936602e+03 2.785004559268044541e+05 7.102400000000000000e+04
5.093450743455368857e-02 3.172762728370431135e-02 5.876263150348044750e-02 3.160605961514021622e+00 1.893467507500239622e+00 1.599735266038341486e+00 4.758080011669560405e-01 2.996718870191061342e+03 2.784982858884293237e+05 5.687100000000000000e+04
1.278911242037657214e-01 7.643653200881901644e-02 3.265345212620891502e-01 1.032604518715629993e+01 3.504473166795941452e+00 2.229025001377802351e+00 -1.399054710864302997e+00 2.883308496910522990e+03 2.785046688005924807e+05 4.900000000000000000e+01
-5.675525294484957961e-02 -4.166138432963957874e-03 1.166998958818464827e-01 -2.522031145421872012e+00 -3.085899011552388771e-01 -1.757978255042172422e-01 4.186440004211983146e-01 2.938911881098329104e+03 2.785044583446799079e+05 5.000000000000000000e+01
-8.463237978466323086e-02 -2.907468262383873514e-02 1.460691267828086171e-01 4.295241219799245336e+00 1.574137929582302586e+00 -1.319538174227961269e+00 -4.593999300634015182e-01 2.938979834973415564e+03 2.785038878111102968e+05 4.493100000000000000e+04
4.161505570742331239e-03 -8.404929542703046784e-04 9.987642314674171403e-04 -8.441210522425304230e-01 -6.084657349439897001e-01 -1.616955231218147881e-01 -2.887380158097255234e-01 3.034128699584972310e+03 2.785013872546816710e+05 5.200000000000000000e+01
-1.286769385348745728e-02 5.914292493759508787e-03 2.777964839687517389e-03 4.312883297026229634e+00 1.027653814600134607e+00 2.230163138074443274e-01 4.750639624705875197e-01 2.927287279845859302e+03 2.784960094729839475e+05 4.492000000000000000e+04
1.729195543802949583e-02 3.504039923765693565e-02 6.716751356444165821e-02 1.344693524106854277e+00 4.408529082766169949e-01 6.895968322945570383e-01 5.783909323868925423e-01 2.963411711905504490e+03 2.784964414629235980e+05 6.160500000000000000e+04
-3.271519689146034585e-03 -5.786334088042110677e-03 3.477802468259828372e-03 -5.970831673016877339e+00 -2.304489421092951851e+00 -1.148562557727912381e+00 5.298121997176453712e-01 3.004236072456918919e+03 2.785024928690250963e+05 5.500000000000000000e+01
-1.764976894285718786e-02 -5.820986864202726957e-03 7.174260318046755958e-02 -8.327716616743359446e-02 -3.683554291496617394e-01 -8.239502404428284965e-01 -2.094384113096433797e+00 2.516794689508434658e+03 2.785099589996174327e+05 6.160400000000000000e+04
3.348896347265502976e-02 1.868070417118823092e-04 1.772341688247284358e-02 -1.744241992801719654e+00 -3.933760671951033183e-01 1.426117219436479289e+00 2.043385245132501027e-01 3.002580869730081304e+03 2.784993354573560646e+05 3.648200000000000000e+04
-3.926388505079139030e-02 -2.561999067450236242e-02 6.788857117170375710e-02 7.759654130759270976e-03 3.895460411888341801e-01 3.159214374574706330e+00 -2.155771040106678083e+00 2.952125182513767413e+03 2.785039150107533787e+05 6.761900000000000000e+04
-8.632649739635917668e-03 -3.975036709745905644e-03 2.131694378026374390e-02 -7.796684593465434965e-01 -2.309043876529006112e-01 -4.851775058618961745e-01 2.422729377648355609e+00 2.912844900132740804e+03 2.785051076957451296e+05 5.900000000000000000e+01
-1.504964517077573942e-02 3.580431831152626476e-02 6.395128848157977108e-02 3.870803623844587538e+00 1.162174713191072462e+00 1.471475841275466490e+00 8.289425731098115646e-01 2.994424063935820868e+03 2.785008779375265585e+05 6.000000000000000000e+01
1.122566693065758618e-03 -2.001178185251126229e-03 5.736563031255735925e-03 1.130922668329298109e+00 -1.656481779954071254e-01 4.813018258103509139e-01 -1.168934622658273526e+00 2.633389004101819864e+03 2.785086801103165490e+05 6.100000000000000000e+01
-5.465744848432922687e-03 -3.190923788820332861e-03 6.447125950268538935e-03 -5.543419496424975890e+00 -1.909293904201831982e+00 4.249722633978196829e-01 -4.848705836308497275e-01 2.978318056168991916e+03 2.784973223051663954e+05 3.669200000000000000e+04
-5.882560984040968027e-02 8.965805889987561728e-02 1.154620734539134191e-01 -2.470501313995321357e+00 -7.894187270807756507e-01 -3.183254720906275814e+00 1.430039641631062786e+00 2.918806447399552326e+03 2.785046601215003757e+05 6.300000000000000000e+01
6.377096994774357486e-02 -3.278922966551464820e-03 1.572588339905233723e-01 2.019677948141052504e+00 1.898127534820173989e-01 5.257086729155993066e-01 1.090056880254985705e+00 3.010949599977888738e+03 2.785010556939115631e+05 6.400000000000000000e+01
9.394282336702352090e-03 -1.613869624331992769e-02 2.269238309712863499e-02 -4.556144310618766013e+00 -1.526209668365409611e+00 3.865128984987811767e-01 8.229516013716886569e-01 2.725270500935810105e+03 2.784932427932800492e+05 6.296800000000000000e+04
-6.992086242507915272e-02 -1.549556782612245831e-01 -1.341698902652046534e-03 -7.411209953320203603e-01 9.058619272953619128e-02 4.937370016014567264e-01 -4.894417989261515833e-01 2.910530755271960970e+03 2.785027563651656965e+05 3.409100000000000000e+04
4.783500292527286674e-03 9.881926992867508339e-04 5.257641398076370008e-03 -1.895033283858188922e+00 -8.960084370215465333e-01 8.580204337241833512e-01 -7.149575414313998900e-01 2.782330033245604227e+03 2.785069567209475790e+05 6.469900000000000000e+04
5.264593239609970457e-03 2.072283483978600363e-02 5.171278911253737731e-02 -6.598150068249493128e-01 -1.051855910363101554e+00 -5.051040917901780114e-01 -1.420606009722944263e+00 2.937722570053471827e+03 2.785042749424723443e+05 5.294900000000000000e+04
5.819211030683110047e-02 -2.320864832168037864e-02 7.380342510424704738e-02 -1.876134167505538741e+00 -1.290522566285607020e+00 -1.972112689193586732e+00 3.239889484226795013e-01 2.987171853530214776e+03 2.785016854890045361e+05 4.491900000000000000e+04
4.201987851784130985e-03 5.444883432975860388e-02 1.762714403314461498e-01 -2.963617749999831297e+00 -1.249953406431908443e+00 -2.384491356915601767e-01 1.077054384986751101e+00 2.966495766951302812e+03 2.785019418451749953e+05 4.123200000000000000e+04
7.776400390044679650e-04 1.106842175988366050e-03 1.235342923533612382e-03 -7.644591326568504763e-02 2.801420977128686943e-02 -3.958895588349650718e-01 5.616490089144134112e-02 2.962404845833485069e+03 2.784961162404878414e+05 3.592800000000000000e+04
2.529391687781947905e-03 -5.222511553790591720e-04 -1.630809300561093453e-02 -2.329727267984717520e-01 -8.017508551895609304e-04 9.306555741041596663e-01 -8.943984954552626210e-01 2.999507421899802011e+03 2.785030774744452210e+05 5.294800000000000000e+04
-5.095539395785049974e-04 1.710261483605330854e-02 -1.480236610333618072e-02 2.931820148333053044e-01 -2.279342174884717853e-01 -6.244509792250114710e-01 -6.166032603803442980e-01 2.994205810485957954e+03 2.785030778833978111e+05 7.300000000000000000e+01
5.726406642478644796e-03 -8.713047033225425689e-03 2.113530928350182934e-03 -7.753233526138967324e-01 -6.248643961945496983e-01 -1.731187314933026133e+00 -3.926034162481705780e-01 3.019063770564222068e+03 2.785021233744691126e+05 7.400000000000000000e+01
-6.054782329154673876e-03 -2.027464991970829352e-03 -3.577761601579579603e-03 -1.106470028929878779e+00 -6.734506168895795231e-01 1.740817963296388493e+00 -4.023497900544796835e-01 2.466612135437168035e+03 2.785103518566915300e+05 6.420600000000000000e+04
-4.114868398786908701e-03 5.105878068735017136e-03 -4.600115385760487029e-03 2.839263081149388412e+00 8.484099380553893344e-01 6.284182455821448743e-01 -7.290198308878271805e-01 2.857583876679011155e+03 2.785057437249213690e+05 5.628300000000000000e+04
