,Seed,Mode,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,spin_tune
10,2544151891,misaligned,5.510526575559226,888.1902706543113,5.504707843717855,888.1752295930409,52447668.64352463,7.29504687239137e-07,5.301367488893152,30859515138.1912,3.24049161343568e-08,15.424373767424925,15.37295611301914,7.2529416800150256e-06
11,1069101419,misaligned,49.288438175256175,862.804959038347,49.288084867124574,862.7939404693599,67560759.59930263,7.295046872215083e-07,48.120988513164185,48750707393.86172,2.0512522862917713e-08,15.421378864770166,15.379724744432686,6.985340378647087e-06
12,1059418063,misaligned,6.610484506171287,888.0274111249825,6.620958561804254,888.0123250666009,52272055.83639488,7.295046872390272e-07,6.258979035653613,21675528381.38464,4.6134976846000184e-08,15.4203820113997,15.381044428155144,2.50927846881599e-05
13,1902981319,misaligned,4.335011917010231,888.3111005729028,4.3517082570770205,888.2949666479574,48908265.16985235,7.295046872392185e-07,4.24094915186407,54901261810.97192,1.821451760877656e-08,15.41307156929719,15.382548946978936,2.107985552559239e-05
14,3514824567,misaligned,8.675584345376162,887.731232386822,8.642731495730633,887.7159391950192,51529672.47640841,7.295046872388272e-07,8.519774254837811,66540478595.23519,1.5028446159562304e-08,15.42409200045646,15.37460825439995,1.8436610892127036e-05
15,2003079152,misaligned,12.406526069413337,886.8913268907007,12.407514471244872,886.8769706185846,54788839.81131246,7.295046872382595e-07,11.98247642996136,34353596150.007576,2.910903404794725e-08,15.421120881397885,15.387040309866885,1.5615499858303883e-05
16,3879330855,misaligned,10.728936040138835,887.3053255722224,10.737259195663402,887.2907029605663,53841118.438901335,7.295046872385394e-07,10.23847892789754,25390976595.897896,3.938407001491851e-08,15.420952682742604,15.38210262693895,3.640233734859483e-05
17,803526140,misaligned,12.701088948719809,886.8396365396096,12.720526082488243,886.8240181750899,50355508.66811778,7.295046872382245e-07,12.410949756209115,52001470843.62787,1.9230225295108892e-08,15.42824593910706,15.373718803965629,4.313797946454309e-05
18,198764798,misaligned,4.827905954956602,888.2862465346047,4.8272370483673175,888.2706845935105,50703098.510990925,7.295046872392017e-07,4.683768881272929,39568046289.57908,2.5272918270502712e-08,15.419402092158776,15.377510584727023,1.707814900980618e-05
19,1378200820,misaligned,16.025754977091008,885.8781929116748,16.03552369416911,885.8637669165811,54399532.78128893,7.295046872375732e-07,15.501357435907506,35896739866.52693,2.7857683001806025e-08,15.422576230173002,15.377454688360425,1.738782288054893e-05
20,507574959,misaligned,10.283767275830458,887.4202928722685,10.281702187297116,887.4049806127456,51429456.67923959,7.29504687238617e-07,9.808468050946068,25103561738.01997,3.98349847896474e-08,15.413609642185309,15.38444198413393,3.314362455075673e-05
21,564666859,misaligned,8.187880600324187,887.8131522746545,8.194803858178865,887.7983226720644,53150380.97943864,7.295046872388825e-07,7.899180943181912,33298853555.5474,3.003106393233186e-08,15.4268834929486,15.378338229895462,2.8220672064651053e-05
22,2773173535,misaligned,46.7781057136236,865.3739501317335,46.77960673843947,865.3628797653066,67645682.59813195,7.295046872233393e-07,45.92856280635392,64131776155.43352,1.5592894192986976e-08,15.41491961184773,15.38785434812401,1.3408941761875982e-05
23,3929591377,misaligned,13.408602787981376,886.6222449018205,13.402773495825382,886.6078274076871,54523082.513837375,7.295046872380773e-07,12.859812176743716,28479901901.57589,3.511248049434702e-08,15.417280729344924,15.39158463619229,2.1617677488839616e-05
24,3272352816,misaligned,68.75595815388316,836.9109442985306,68.75794002720144,836.9044600234215,108017394.41203144,7.295046872024245e-07,67.59027947753849,66520660119.434105,1.503292357899871e-08,15.42103042792798,15.38357888545518,1.123776096797474e-05
25,1749312159,misaligned,24.20244267451893,882.4222343729272,24.195265518404675,882.407662429308,53435297.40815421,7.295046872352204e-07,23.39231443108621,34927522024.31433,2.8630717040386186e-08,15.41551649789078,15.388494764449929,1.8419184388180313e-05
26,3650295891,misaligned,50.858374863238645,861.0724655214023,50.85106124764827,861.0613702557716,66824559.387381926,7.295046872202673e-07,49.11077280327293,33170027780.49016,3.0147698597592884e-08,15.418718480816027,15.389561991190376,9.556733000168817e-06
27,3355010501,misaligned,17.286747219899055,885.3736570421469,17.311220034459733,885.3598798660314,56896588.100687355,7.295046872372309e-07,16.586367840544007,28741964628.895176,3.4792332845426633e-08,15.419630838793942,15.382385587267942,8.518599456416711e-06
28,2299039101,misaligned,2.573736249722871,888.4042843946511,2.588729200758395,888.3891983823652,52316593.35129796,7.295046872392814e-07,2.540579848281097,93314260135.54704,1.0716475687075196e-08,15.428017875455753,15.368043356203255,3.201906058759437e-05
29,786510300,misaligned,11.997018821430284,887.0054657990488,12.000434133928785,886.9909178027576,54080697.88113157,7.295046872383367e-07,11.72032844662284,51504353446.41113,1.941583445058625e-08,15.423308272133385,15.37791534777273,9.738688653487336e-06
30,3131665048,misaligned,12.698851597577592,886.8054473623499,12.71156945006413,886.7910178384261,54500142.17002504,7.295046872382014e-07,12.379192735523509,47076681443.25618,2.1241939094737356e-08,15.419865410473683,15.384493218835072,2.9525772076859574e-05
31,824222614,misaligned,9.28303448123282,887.6014924190976,9.264733318762818,887.5858560417528,50383954.87019062,7.295046872387395e-07,8.886715733896668,27282653571.3587,3.665332616508385e-08,15.418869045979708,15.379486088256144,1.86069660757896e-05
32,3216448511,misaligned,12.106905479319394,886.9870808558475,12.136957253995776,886.9717393844531,51281422.3420654,7.295046872383242e-07,11.73742661271172,38625355926.791695,2.5889729065418666e-08,15.418104943266489,15.377763822711296,3.450382482869038e-05
