x[mm] xp[mrad] y[mm] yp[mrad] t[mm/c] p[MeV/c] ID
5.122929420090061470e+00 1.109727667277180148e-02 -1.113380445273179031e+00 4.842797489075977291e-01 3.191138270826830994e+05 2.819585662724807207e+03 4.680300000000000000e+04
-1.539865105406814827e+01 -1.051473298906310916e+00 5.516142578260117446e+00 -1.384750405648416116e+00 3.191033753749383031e+05 2.879769268839839697e+03 8.400000000000000000e+01
-3.212959880339039120e+00 -2.273889151344274731e-02 -2.172481794310154424e+00 5.538358325141056193e-01 3.191081730297271861e+05 2.870018198887514700e+03 3.822600000000000000e+04
4.061786985932258176e+00 7.395077854792413141e-02 9.807863321685189595e-01 -5.507240478343286005e-01 3.191094209882031428e+05 2.870153215775605531e+03 8.600000000000000000e+01
5.222174215938408359e+00 4.169968469036944292e-01 -4.829282469381958265e+00 1.293016470107726912e+00 3.191134424059496378e+05 2.870693684404252508e+03 2.953700000000000000e+04
1.801769720711472178e-01 -1.241079098198869801e-01 6.130576891702759212e+00 -1.268386229942665366e+00 3.191036418540371815e+05 2.888717514329916867e+03 3.734400000000000000e+04
-9.933493246786659014e+00 -6.392389554034872967e-01 -6.212383713370290828e+00 1.287235083518293743e+00 3.191082884236260434e+05 2.869491445856166592e+03 3.245100000000000000e+04
7.313605240001931129e+00 2.362962627257753356e-01 -1.746058301194419293e+00 2.403926595470221028e-01 3.191146748096050578e+05 2.870210601012669485e+03 9.000000000000000000e+01
-1.288932680094821981e+00 -2.434724513228975207e-01 -1.269203201066290987e+01 2.704495578479480411e+00 3.191046719557084143e+05 2.876742427506392687e+03 4.709600000000000000e+04
-4.361609968385860903e+00 -1.687259185337301459e-01 -3.464422953465091215e+00 1.012067198834891935e+00 3.191346872501362814e+05 2.877300283693542951e+03 9.200000000000000000e+01
-2.518017396098679583e+01 -1.363746081048781811e+00 1.208445709653530598e+00 -2.389839614106770149e-01 3.191084974809338455e+05 2.885383472824991259e+03 9.300000000000000000e+01
1.463150175080576654e+00 1.841395978051388216e+00 -8.537327579380127318e+00 1.357249015634867995e+00 3.192901801005860325e+05 2.091684557193890214e+03 5.874800000000000000e+04
-2.487354319909574674e+00 -1.324130097484045310e-01 6.395992059797475093e+00 -1.468498669230545950e+00 3.191092176617264049e+05 2.835343356241656238e+03 5.221300000000000000e+04
6.843623837634837948e+00 4.222367185342530971e-01 1.473494315603428861e-01 -7.537412856509760617e-02 3.191082136037679156e+05 2.844166254488099639e+03 4.541000000000000000e+04
-1.752752622689462747e+00 4.334494599216902611e-01 1.243786028881002759e+00 -1.507493261410807195e-01 3.191901200608848012e+05 2.442299951420390698e+03 6.352600000000000000e+04
-8.005775571985742189e+00 -5.560071154963696083e-01 3.536369713931978520e+00 -5.315370805217994876e-01 3.191020241514086956e+05 2.896550098835089557e+03 7.071600000000000000e+04
-6.153780462116350547e-01 -2.429956210721589405e-01 2.651466300807172161e+00 -1.264127371043763937e+00 3.192788820363589330e+05 2.549587744712793210e+03 2.837100000000000000e+04
5.745755926509040101e+00 3.155981198192172044e-01 -3.376048897497682777e+00 7.035022082297220924e-01 3.191036834762699436e+05 2.869254860538347657e+03 5.738100000000000000e+04
-2.214989590468163527e+01 -1.473637018869098592e+00 -1.250263172441868065e+01 2.509392490616136673e+00 3.191036800920132082e+05 2.898133246580534887e+03 4.541100000000000000e+04
