,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,qx,qy,qs
21,598583936,11.975755754070159,887.0180204717462,11.994237520719869,887.0034848516257,54128277.20834859,7.295046872383452e-07,11.640735704142552,15.42120649849837,15.367715111621571,0.03667577813471257
22,675148476,9.846131810329432,887.4867142196234,9.855251358816423,887.4716449019202,52266420.39172638,7.29504687238662e-07,9.947807550722818,15.419521381899832,15.38174011988932,0.03668897168509533
23,3916350336,12.724522895836346,886.8441396678845,12.716838972176092,886.8289155006254,51659904.49340402,7.295046872382275e-07,12.530112516168442,15.425285413710109,15.372189367668994,0.03666619967025958
24,1195211299,18.18689198350874,885.0714128332831,18.194849532144016,885.0571974527686,55105019.76291536,7.295046872370257e-07,17.8093540307406,15.418496347945643,15.372337675460283,0.03668346504155984
25,3250360940,22.528201368430643,883.2741748465157,22.53241497683106,883.2605267352383,57162577.082489535,7.295046872358021e-07,22.21103049872697,15.422179638713914,15.376801678903277,0.036675922562584395
26,1138860150,29.700054242516305,879.3592984391437,29.704815120938626,879.3447925911265,53306777.996606775,7.295046872331198e-07,29.14190359981383,15.409662049803792,15.391073226358316,0.03671391778222921
27,3181482140,9.450180792247695,887.5879306260672,9.423912212512615,887.5727856480323,52017169.670337416,7.295046872387303e-07,9.47708076920124,15.420725844518046,15.379534503952456,0.0366875573218019
28,3647343800,10.27499845842372,887.407189075931,10.295396610256773,887.3924011226226,53251344.51406858,7.295046872386084e-07,10.30148473122775,15.426371071365143,15.372122889936286,0.036671783743934316
29,1614574210,36.1912574079405,874.8289050809493,36.18078030806707,874.8163718878886,61063022.41264936,7.295046872299858e-07,36.014405831117436,15.427172083850543,15.374277723126522,0.03666068299091102
30,479367792,12.408571040452951,886.9206759892108,12.408683962314267,886.9058162565018,52936019.87995605,7.295046872382794e-07,11.872024504868962,15.42590905680631,15.368219944032031,0.036658480372901814
31,2439420962,50.80131514025569,861.0975811140531,50.79146845354734,861.0862023565378,65163463.14457869,7.295046872202852e-07,50.17269312864211,15.414004469372404,15.383863240819188,0.0366983638809989
32,1933299460,12.695840235062624,886.7992620486905,12.704489511249184,886.7840736269939,51776246.261657454,7.295046872381972e-07,12.450221547957888,15.414933313485646,15.38521955468315,0.03669604586426556
33,4014697831,14.008528893287467,886.473468432957,13.99838932216719,886.4594221983012,55945438.60900667,7.295046872379767e-07,13.897432642794156,15.422674531243327,15.380248419271078,0.036677710585228285
34,3810408572,13.272898496310686,886.6637269752383,13.26738243211872,886.6492845634061,54434104.79547259,7.295046872381055e-07,13.029822669587684,15.414845183137508,15.384924947518108,0.0366939701858181
35,146604242,8.211178088619569,887.7622421522366,8.181756502964207,887.7464338039671,49853896.884149835,7.295046872388481e-07,8.151398099214646,15.416528098678942,15.379770004743348,0.036694225404280856
36,1068494569,17.078859708745796,885.506785071183,17.08643709197867,885.4923788671584,54428599.53103237,7.295046872373213e-07,16.93863785729523,15.414031631534968,15.382068106187848,0.03670154710864454
