,Seed,P_BKS,t_BKS,P_DKM,t_DKM,t_depol,t_pol,P_eq,t_dep_turns,N_over_tau,qx,qy,qs
19,2086757104,92.22398161538395,760.8855571753923,92.2244620659906,760.8767205862425,65516241.354530066,7.034866873472897e-07,91.41194904330607,121756729992.50066,8.213098364760558e-09,15.433806253748076,15.383800932509432,0.03612934011964841
20,3745556992,90.22024956473359,766.1238714009831,90.2061550602652,766.1031962758008,28388217.311671942,7.034866873517368e-07,58.613643513732214,2019593508.5967221,4.951491454806823e-07,15.41208864979275,15.47743646157942,0.03606565697584202
21,1836657740,84.43112724945999,778.4910959211525,84.42540239514496,778.4652293588239,23429021.67823069,7.034866873619988e-07,68.16588906888434,4637719116.999847,2.1562323520940238e-07,15.489383163057349,15.316176502342207,0.03600645438047945
22,2192847369,84.97128819499878,777.5563173939761,85.04920098108035,777.5265649877373,20320060.424570285,7.034866873612346e-07,2.804238322819104,37721868.454538524,2.6509821516534253e-05,15.481157673265844,15.365716583606952,0.03583103397018533
23,1007028608,90.54875694257285,764.3537772569159,90.49943818285863,764.3303865718573,24976558.685013942,7.034866873502409e-07,71.1433782692464,3983372258.0222983,2.510435719348232e-07,15.425715101685421,15.396123941264342,0.03618448093056409
24,2848918238,80.24143456412645,785.9132231615301,80.31022429286008,785.8625654010664,12192007.22815209,7.034866873680024e-07,43.04396441621934,1292759006.0516853,7.735393799763012e-07,15.442593631390976,15.404409138800487,0.036131881416784806
25,209714985,80.94576880893383,784.9615604951014,80.91128693127348,784.9205410940598,15020513.151232218,7.03486687367239e-07,17.50460113603464,307874385.2029297,3.2480779436745563e-06,15.48609630360979,15.333909200081644,0.03633835989120332
26,904912719,30.132107822770475,845.5087077777487,29.873886269700368,845.411017367667,7317016.851883699,7.034866874123869e-07,11.948511020851708,789761932.8097801,1.2662043565992656e-06,15.440366533710788,15.352366695316762,0.035972503471704775
27,1883686487,88.22279269302453,768.4587178253867,88.14854000546106,768.4242006824155,17107507.318782523,7.034866873536995e-07,62.47132140254198,2649984314.008773,3.7736072425547553e-07,15.469624199058174,15.377508580217865,0.03596787600677531
28,1259831286,91.63420030573873,762.3490903492578,91.6397107147771,762.3330467521046,36224039.981844015,7.034866873485383e-07,4.708780796057068,58702916.822072014,1.7034928656628606e-05,15.480717329088895,15.350728871087796,0.03592074177620014
29,2705702879,75.86636748682221,795.9032204028473,75.7922294785451,795.8524920180022,12486531.225005906,7.034866873759062e-07,52.317804074218735,2513561220.173768,3.9784191129861074e-07,15.416915328915838,15.370098375950922,0.03634467440817213
30,2273868855,86.81411658068633,771.8241766903109,86.8105824253188,771.7986013318093,23291670.37895094,7.034866873565075e-07,76.12982401715699,7817565862.658638,1.279170546904628e-07,15.380221671545366,15.431029616874111,0.036090581933373944
31,2465590593,81.88928490939558,783.7379079999636,81.8293272289944,783.7144302627231,26162091.421010166,7.034866873662546e-07,50.783233963303786,1818823030.1587508,5.498061017584091e-07,15.48614709917808,15.317237068956247,0.03593813712287147
32,2727185150,74.42592651219883,797.0485947172801,74.19551885103233,796.9795878804628,9205340.946437988,7.034866873767998e-07,39.68419836326987,1294181271.8198352,7.726892837769417e-07,15.373549033119957,15.431165649869623,0.03649936104054152
33,1470706897,48.83916552028831,830.4024878136079,48.83692567568174,830.2091952393372,3566654.248015892,7.03486687401739e-07,20.62697166968339,863040886.1200382,1.1586936564450464e-06,15.449648993521429,15.380980727715823,0.0362425174757946
34,1611541630,87.38673291296911,774.900312498634,87.38124445424168,774.8543366005813,13059774.64291582,7.034866873590529e-07,83.14115801762983,21570962057.320217,4.635861846786035e-08,15.355963282081214,15.427742234722336,0.036313018103547534
35,1031022615,52.458239794686634,828.4137969986556,52.54245727333121,828.1315063814523,2430245.7248219852,7.034866874003085e-07,-5.25184890828213,-107164741.57969765,-9.331427345031267e-06,15.496144130508904,15.352814078632044,0.03571735997134129
36,2925090982,91.29212053669475,762.1054699794707,91.21051959452704,762.0393396343112,8781964.583338547,7.034866873483307e-07,80.03145275150399,7699379908.042389,1.2988058933881804e-07,15.420931514086307,15.329226277410998,0.036034403831748496
37,2569180721,78.35798265812255,790.0518482680154,78.33089387894488,789.9942679250504,10839401.07605249,7.034866873713011e-07,50.97337793453329,2090434901.6673315,4.783693571143496e-07,15.442040974655027,15.40557896489123,0.03557085014943506
38,2722198722,84.97041668479275,774.5356149302908,84.84475792178372,774.4664362555718,8671051.301369954,7.034866873587522e-07,-28.977252899681627,-279986616.41596675,-3.571599288568613e-06,15.492503571212493,15.369146357232399,0.035910335687496964
39,2781671218,77.89904643572511,791.2623406207991,77.74611635535356,791.1523708729768,5692557.1728695035,7.034866873722593e-07,56.614258843767,2991721195.2913985,3.342557460146611e-07,15.458090361494921,15.338417835712514,0.03607832204502326
