,R56,Vdeb,Phasdeb,RMS_Spread_%,Efficiency_%
136,0.3296976554358415,-0.08016029728013098,0.12546705222746773,7.440184571406522,89.2
118,0.42313974962249445,-0.09607632731703672,0.3353814596269634,6.749842926907535,89.0
66,0.23523105624369067,-0.10119004527610984,0.43641669733836996,8.752909224745675,88.6
45,0.3656305710884955,-0.09761856380810086,0.31554753431827576,7.212742712114436,88.0
103,0.3271426727911757,-0.10246169922655834,0.3892601131377096,7.896962254414936,87.6
132,0.2299663418334207,-0.09366255710400839,0.31637632216069134,8.731503051162031,87.2
131,0.25552695261768255,-0.09930072647226962,0.36652872110111523,8.771384837704195,86.4
119,0.3348355604789127,-0.10596122336032598,0.36333108530318803,7.840481159297674,81.8
143,0.27521957745419245,-0.09597140378831057,0.22972475147341181,8.603416028855053,81.39999999999999
30,0.3518862129753596,-0.09884004734246121,0.22459043752794156,7.433982267610556,80.60000000000001
5,0.23899863008405067,-0.11369170927327493,0.4415482278118871,9.080629755125123,76.2
138,0.2909074005948235,-0.10701881218075734,0.34718477950477367,8.612610370857752,73.2
8,0.35027875293580224,-0.11435436840114005,0.3783151681690463,7.742350169733167,69.39999999999999
112,0.4324244130856433,-0.1289873977145214,0.43271250142814466,7.2912572957138,66.0
44,0.26469499540000424,-0.0991455313426949,0.2394766570390807,8.804530304367637,62.2
1,0.43767857660247905,-0.11406571639995414,0.2859741210488518,7.070260377539508,59.4
147,0.32566975580721536,-0.11762684587547352,0.36368236484062955,8.25446707915902,54.800000000000004
10,0.20514612357395062,-0.09483253009211201,0.2536399972469726,8.730373664790356,53.800000000000004
25,0.3962939903482534,-0.12384503564925128,0.358263920843519,7.334894031782382,53.6
52,0.43487473539104726,-0.12575569288580793,0.33054277106663077,7.2661395907459365,53.400000000000006
16,0.27606056073988444,-0.10188299025423962,0.24313353054499445,8.7399987891666,53.0
89,0.3180537312904873,-0.12343339808894266,0.3823921587435424,8.527712320904683,49.6
86,0.38240154458451603,-0.10788414563387164,0.19871210039995726,7.2023821420350185,48.8
51,0.39378320584027865,-0.13737900525074268,0.39977144441591284,7.616231873462942,48.8
75,0.38225179201024684,-0.11340155349313746,0.21164147060281646,7.2922549382971615,42.6
34,0.44140800826863985,-0.11130875584272665,0.11610092470761346,7.119988492046943,40.0
2,0.3829984854528513,-0.12826576918631652,0.28922229256353726,7.543061950959805,39.0
104,0.42689161848152324,-0.12457608799708612,0.2120173603607141,7.2760409012893765,38.2
55,0.4304685587557792,-0.14862044225750554,0.3248467473722104,7.736702089999116,38.0
65,0.3356740207895621,-0.11441263687547998,0.235135923230271,7.998462506954743,37.2
84,0.27774558042891556,-0.12071355183029332,0.35727486533136,9.143100326618338,36.0
77,0.2185111629335226,-0.09103534129998594,0.10814517750753906,8.925730516413967,33.800000000000004
63,0.2891883316733973,-0.11635960358091603,0.29096587626057724,8.89619663063731,32.2
74,0.3767143359619043,-0.11021964484774119,0.12491602696108015,7.302616935566471,31.4
141,0.26294557395634105,-0.14439777168761783,0.4453238524754114,9.841580455711128,27.200000000000003
144,0.2712101235943669,-0.13094092310221728,0.38447984854012585,9.471182439147716,26.400000000000002
140,0.4406118237355278,-0.14542496250914258,0.12969319992981718,7.721005381223687,25.2
94,0.39274179498864026,-0.14768150752066989,0.21928123908855623,7.813254471466574,25.0
59,0.28133258269081607,-0.1258787922873752,0.30141596225655765,9.259912574958763,20.599999999999998
17,0.33118910790805944,-0.12202222344002187,0.16065301202479604,8.227337046641072,17.8
14,0.24545624180177517,-0.13645653449183875,0.39259304217927204,9.773646037841168,17.4
23,0.29159046082342294,-0.1160256337203093,0.19797686393108,8.870673835993165,16.8
135,0.2808007330051888,-0.1446086589304887,0.34533919601069196,9.734171166111208,16.8
39,0.31003812343490034,-0.11372215636493224,0.1342419562278505,8.466882147636698,13.8
87,0.35938936783880326,-0.1463526050352819,0.16210384032290298,8.179685654155142,13.0
31,0.2426310309218229,-0.13297897181391163,0.3652461386625292,9.72618759988722,12.6
58,0.21130682222763453,-0.1492407624230672,0.4290805844987351,9.74648975044159,6.6000000000000005
100,0.20785729642168357,-0.10583266618956214,0.13609335409257642,9.261156348666368,6.0
18,0.307986254660529,-0.1438837287667854,0.1547529649348801,9.19996365128979,5.4
21,0.23487346516301047,-0.14751182566082158,0.35010857294502185,10.135351097319397,4.3999999999999995
133,0.284403792850907,-0.13590270902386964,0.13539293664297658,9.510385691687144,3.4000000000000004
40,0.23050955871119472,-0.13603458482911512,0.27206555629089135,9.955513403258244,3.4000000000000004
149,0.26966161605915284,-0.1371978802509348,0.12922525084453407,9.814061640315433,3.2
29,0.21161260317999944,-0.129371858378101,0.1867058463254051,9.837146690493501,1.0
72,0.2013805292809006,-0.13594878482578612,0.13305503626457493,10.022858090403707,0.8
56,0.22212312551297989,-0.13477926857009517,0.10927895868956763,10.171198326276844,0.8
109,0.21924497745719826,-0.13542352593438473,0.13195033687514673,10.146924390086431,0.6
